Timestamp,Emotion
2025-07-18 00:00:14,neutral
2025-07-18 00:00:14,disgust
2025-07-18 00:00:14,fear
2025-07-18 00:00:14,disgust
2025-07-18 00:00:15,disgust
2025-07-18 00:00:15,fear
2025-07-18 00:00:15,fear
2025-07-18 00:00:15,fear
2025-07-18 00:00:15,disgust
2025-07-18 00:00:15,disgust
2025-07-18 00:00:16,disgust
2025-07-18 00:00:16,sad
2025-07-18 00:00:16,disgust
2025-07-18 00:00:16,disgust
2025-07-18 00:00:16,disgust
2025-07-18 00:00:17,disgust
2025-07-18 00:00:17,disgust
2025-07-18 00:00:17,disgust
2025-07-18 00:00:17,disgust
2025-07-18 00:00:17,fear
2025-07-18 00:00:17,disgust
2025-07-18 00:00:18,disgust
2025-07-18 00:00:18,fear
2025-07-18 00:00:18,disgust
2025-07-18 00:00:18,disgust
2025-07-18 00:00:18,disgust
2025-07-18 00:00:19,disgust
2025-07-18 00:00:19,disgust
2025-07-18 00:00:19,disgust
2025-07-18 00:00:19,disgust
2025-07-18 00:00:19,sad
2025-07-18 00:00:20,disgust
2025-07-18 00:00:20,disgust
2025-07-18 00:00:20,fear
2025-07-18 00:00:20,fear
2025-07-18 00:00:20,sad
2025-07-18 00:00:20,disgust
2025-07-18 00:00:21,disgust
2025-07-18 00:00:21,fear
2025-07-18 00:00:21,disgust
2025-07-18 00:00:21,fear
2025-07-18 00:00:21,fear
2025-07-18 00:00:21,disgust
2025-07-18 00:00:22,fear
2025-07-18 00:00:22,disgust
2025-07-18 00:00:22,disgust
2025-07-18 00:00:22,disgust
2025-07-18 00:00:22,sad
2025-07-18 00:00:23,disgust
2025-07-18 00:00:23,fear
2025-07-18 00:00:23,fear
2025-07-18 00:00:23,disgust
2025-07-18 00:00:23,disgust
2025-07-18 00:00:23,disgust
2025-07-18 00:00:24,fear
2025-07-18 00:00:24,fear
2025-07-18 00:00:24,fear
2025-07-18 00:00:24,disgust
2025-07-18 00:00:24,fear
2025-07-18 00:00:25,disgust
2025-07-18 00:00:25,fear
2025-07-18 00:00:25,disgust
2025-07-18 00:00:25,disgust
2025-07-18 00:00:25,disgust
2025-07-18 00:00:25,disgust
2025-07-18 00:00:26,disgust
2025-07-18 00:00:26,fear
2025-07-18 00:00:26,disgust
2025-07-18 00:00:26,disgust
2025-07-18 00:00:26,disgust
2025-07-18 00:00:27,disgust
2025-07-18 00:00:27,sad
2025-07-18 00:00:27,sad
2025-07-18 00:00:27,disgust
2025-07-18 00:00:27,disgust
2025-07-18 00:00:27,disgust
2025-07-18 00:00:28,disgust
2025-07-18 00:00:28,disgust
2025-07-18 00:00:28,disgust
2025-07-18 00:00:28,disgust
2025-07-18 00:00:28,fear
2025-07-18 00:00:29,disgust
2025-07-18 00:00:29,sad
2025-07-18 00:00:29,disgust
2025-07-18 00:00:29,disgust
2025-07-18 00:00:29,sad
2025-07-18 00:00:30,sad
2025-07-18 00:00:30,sad
2025-07-18 00:00:30,disgust
2025-07-18 00:00:30,sad
2025-07-18 00:00:30,sad
2025-07-18 00:00:30,sad
2025-07-18 00:00:31,sad
2025-07-18 00:00:31,neutral
2025-07-18 00:00:31,fear
2025-07-18 00:00:31,sad
2025-07-18 00:00:31,fear
2025-07-18 00:00:31,sad
2025-07-18 00:00:32,fear
2025-07-18 00:00:32,angry
2025-07-18 00:00:32,happy
2025-07-18 00:00:32,happy
2025-07-18 00:00:32,happy
2025-07-18 00:00:33,happy
2025-07-18 00:00:33,happy
2025-07-18 00:00:33,happy
2025-07-18 00:00:33,happy
2025-07-18 00:00:33,happy
2025-07-18 00:00:33,happy
2025-07-18 00:00:34,happy
2025-07-18 00:00:34,happy
2025-07-18 00:00:34,happy
2025-07-18 00:00:34,happy
2025-07-18 00:00:34,happy
2025-07-18 00:00:35,happy
2025-07-18 00:00:35,happy
2025-07-18 00:00:35,happy
2025-07-18 00:00:35,happy
2025-07-18 00:00:35,happy
2025-07-18 00:00:36,happy
2025-07-18 00:00:36,happy
2025-07-18 00:00:36,happy
2025-07-18 00:00:36,happy
2025-07-18 00:00:36,happy
2025-07-18 00:00:37,happy
2025-07-18 00:00:37,happy
2025-07-18 00:00:37,happy
2025-07-18 00:00:37,happy
2025-07-18 00:00:37,happy
2025-07-18 00:00:37,happy
2025-07-18 00:00:38,happy
2025-07-18 00:00:38,angry
2025-07-18 00:00:38,angry
2025-07-18 00:00:38,neutral
2025-07-18 00:00:38,angry
2025-07-18 00:00:38,neutral
2025-07-18 00:00:39,angry
2025-07-18 00:00:39,angry
2025-07-18 00:00:39,neutral
2025-07-18 00:00:39,neutral
2025-07-18 00:00:39,neutral
2025-07-18 00:00:39,surprise
2025-07-18 00:00:40,surprise
2025-07-18 00:00:40,fear
2025-07-18 00:00:40,fear
2025-07-18 00:00:40,surprise
2025-07-18 00:00:40,fear
2025-07-18 00:00:41,fear
2025-07-18 00:00:41,happy
2025-07-18 00:00:41,fear
2025-07-18 00:00:41,surprise
2025-07-18 00:00:41,surprise
2025-07-18 00:00:41,happy
2025-07-18 00:00:42,surprise
2025-07-18 00:00:42,surprise
2025-07-18 00:00:42,surprise
2025-07-18 00:00:42,surprise
2025-07-18 00:00:42,surprise
2025-07-18 00:00:43,surprise
2025-07-18 00:00:43,surprise
2025-07-18 00:00:43,surprise
2025-07-18 00:00:43,surprise
2025-07-18 00:00:43,surprise
2025-07-18 00:00:43,surprise
2025-07-18 00:00:44,surprise
2025-07-18 00:00:44,happy
2025-07-18 00:00:44,fear
2025-07-18 00:00:44,fear
2025-07-18 00:00:44,fear
2025-07-18 00:00:45,fear
2025-07-18 00:00:45,fear
2025-07-18 00:00:45,fear
2025-07-18 00:00:45,fear
2025-07-18 00:00:45,fear
2025-07-18 00:00:45,fear
2025-07-18 00:00:46,fear
2025-07-18 00:00:46,fear
2025-07-18 00:00:46,fear
2025-07-18 00:00:46,fear
2025-07-18 00:00:46,neutral
2025-07-18 00:00:47,surprise
2025-07-18 00:00:47,fear
2025-07-18 00:00:47,fear
2025-07-18 00:00:47,neutral
2025-07-18 00:00:47,fear
2025-07-18 00:00:48,neutral
2025-07-18 00:00:48,fear
2025-07-18 00:00:48,surprise
2025-07-18 00:00:48,fear
2025-07-18 00:00:48,fear
2025-07-18 00:00:48,fear
2025-07-18 00:00:49,fear
2025-07-18 00:00:49,fear
2025-07-18 00:00:49,neutral
2025-07-18 00:00:49,fear
2025-07-18 00:00:49,happy
2025-07-18 00:00:50,happy
2025-07-18 00:00:50,happy
2025-07-18 00:00:50,happy
2025-07-18 00:00:50,happy
2025-07-18 00:00:50,happy
2025-07-18 00:00:50,happy
2025-07-18 00:00:51,happy
2025-07-18 00:00:51,neutral
2025-07-18 00:00:51,neutral
2025-07-18 00:00:51,neutral
2025-07-18 00:00:51,neutral
2025-07-18 00:00:51,neutral
2025-07-18 00:00:52,neutral
2025-07-18 00:00:52,neutral
2025-07-18 00:00:52,neutral
2025-07-18 00:00:52,neutral
2025-07-18 00:00:52,neutral
2025-07-18 00:00:53,neutral
2025-07-18 00:00:53,neutral
2025-07-18 00:00:53,neutral
2025-07-18 00:00:53,neutral
2025-07-18 00:00:53,neutral
2025-07-18 00:00:53,sad
2025-07-18 00:00:54,neutral
2025-07-18 00:00:54,neutral
2025-07-18 00:00:54,happy
2025-07-18 00:00:54,neutral
2025-07-18 00:00:54,neutral
2025-07-18 00:00:55,fear
2025-07-18 00:00:55,fear
2025-07-18 00:00:55,fear
2025-07-18 00:00:55,fear
2025-07-18 00:00:55,fear
2025-07-18 00:00:55,fear
2025-07-18 00:00:56,fear
2025-07-18 00:00:56,fear
2025-07-18 00:00:56,fear
2025-07-18 00:00:56,fear
2025-07-18 00:00:56,fear
2025-07-18 00:00:57,fear
2025-07-18 00:00:57,fear
2025-07-18 00:00:57,fear
2025-07-18 00:00:57,fear
2025-07-18 00:00:57,fear
2025-07-18 00:00:58,fear
2025-07-18 00:00:58,angry
2025-07-18 00:00:58,angry
2025-07-18 00:00:58,fear
2025-07-18 00:00:58,fear
2025-07-18 00:00:58,fear
2025-07-18 00:00:58,fear
2025-07-18 00:00:59,fear
2025-07-18 00:00:59,neutral
2025-07-18 00:00:59,neutral
2025-07-18 00:00:59,neutral
2025-07-18 00:00:59,neutral
2025-07-18 00:00:59,neutral
2025-07-18 00:01:00,sad
2025-07-18 00:01:00,neutral
2025-07-18 00:01:00,neutral
2025-07-18 00:01:00,happy
2025-07-18 00:01:00,neutral
2025-07-18 00:01:00,neutral
2025-07-18 00:01:01,surprise
2025-07-18 00:01:01,neutral
2025-07-18 00:01:01,neutral
2025-07-18 00:01:01,neutral
2025-07-18 00:01:01,surprise
2025-07-18 00:01:02,neutral
2025-07-18 00:01:02,sad
2025-07-18 00:01:02,neutral
2025-07-18 00:01:02,neutral
2025-07-18 00:01:02,happy
2025-07-18 00:01:02,neutral
2025-07-18 00:01:03,neutral
2025-07-18 00:01:03,neutral
2025-07-18 00:01:03,neutral
2025-07-18 00:01:03,neutral
2025-07-18 00:01:03,neutral
2025-07-18 00:01:04,neutral
2025-07-18 00:01:04,neutral
2025-07-18 00:01:04,neutral
2025-07-18 00:01:04,neutral
2025-07-18 00:01:04,neutral
2025-07-18 00:01:04,neutral
2025-07-18 00:01:05,fear
2025-07-18 00:01:05,sad
2025-07-18 00:01:05,sad
2025-07-18 00:01:05,neutral
2025-07-18 00:01:05,neutral
2025-07-18 00:01:06,sad
2025-07-18 00:01:06,sad
2025-07-18 00:01:06,fear
2025-07-18 00:01:06,neutral
2025-07-18 00:01:06,fear
2025-07-18 00:01:06,fear
2025-07-18 00:01:07,sad
2025-07-18 00:01:07,neutral
2025-07-18 00:01:07,neutral
2025-07-18 00:01:07,neutral
2025-07-18 00:01:07,neutral
2025-07-18 00:01:08,neutral
2025-07-18 00:01:08,neutral
2025-07-18 00:01:08,neutral
2025-07-18 00:01:08,neutral
2025-07-18 00:01:08,neutral
2025-07-18 00:01:08,neutral
2025-07-18 00:01:09,neutral
2025-07-18 00:01:09,neutral
2025-07-18 00:01:09,neutral
2025-07-18 00:01:09,angry
2025-07-18 00:01:09,neutral
2025-07-18 00:01:10,angry
2025-07-18 00:01:10,neutral
2025-07-18 00:01:10,neutral
2025-07-18 00:01:10,neutral
2025-07-18 00:01:10,neutral
2025-07-18 00:01:11,neutral
2025-07-18 00:01:11,neutral
2025-07-18 00:01:11,neutral
2025-07-18 00:01:11,neutral
2025-07-18 00:01:11,angry
2025-07-18 00:01:12,neutral
2025-07-18 00:01:12,neutral
2025-07-18 00:01:12,neutral
2025-07-18 00:01:12,angry
2025-07-18 00:01:12,neutral
2025-07-18 00:01:13,neutral
2025-07-18 00:01:13,neutral
2025-07-18 00:01:13,neutral
2025-07-18 00:01:13,neutral
2025-07-18 00:01:13,neutral
2025-07-18 00:01:13,sad
2025-07-18 00:01:14,neutral
2025-07-18 00:01:14,neutral
2025-07-18 00:01:14,neutral
2025-07-18 00:01:14,neutral
2025-07-18 00:01:14,neutral
2025-07-18 00:01:14,neutral
2025-07-18 00:01:15,fear
2025-07-18 00:01:15,fear
2025-07-18 00:01:15,fear
2025-07-18 00:01:15,fear
2025-07-18 00:01:15,fear
2025-07-18 00:01:16,sad
2025-07-18 00:01:16,neutral
2025-07-18 00:01:16,neutral
2025-07-18 00:01:16,neutral
2025-07-18 00:01:16,fear
2025-07-18 00:01:16,sad
2025-07-18 00:01:17,sad
2025-07-18 00:01:17,sad
2025-07-18 00:01:17,neutral
2025-07-18 00:01:17,neutral
2025-07-18 00:01:17,neutral
2025-07-18 00:01:18,happy
2025-07-18 00:01:18,neutral
2025-07-18 00:01:18,neutral
2025-07-18 00:01:18,happy
2025-07-18 00:01:18,neutral
2025-07-18 00:01:19,neutral
2025-07-18 00:01:19,neutral
2025-07-18 00:01:19,neutral
2025-07-18 00:01:19,neutral
2025-07-18 00:01:19,sad
2025-07-18 00:01:19,neutral
2025-07-18 00:01:20,neutral
2025-07-18 00:01:20,neutral
2025-07-18 00:01:20,neutral
2025-07-18 00:01:20,neutral
2025-07-18 00:01:20,neutral
2025-07-18 00:01:21,neutral
2025-07-18 00:01:21,happy
2025-07-18 00:01:21,happy
2025-07-18 00:01:21,happy
2025-07-18 00:01:21,happy

